*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Solar Charge Board production1
*Date=19:02:55
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;81.8748;-59.1458;0;Bottom;Via33
2;;;48.8747;-67.1458;0;Bottom;Via12
3;;5050;32.0248;-79.1957;0;Top;RGB57
4;100 nF;1206 [SMD, multilayer];68.3747;-65.1958;-90;Top;C18
5;;;76.3524;-99.8042;0;Bottom;Copper Fill30
6;;;70.8746;-67.1458;0;Bottom;Via16
7;;;41.529;-67.597;0;Bottom;Copper Fill120
8;;;68.5292;-98.2802;0;Bottom;Copper Fill36
9;;;51.9938;-58.5038;0;Bottom;Copper Fill129
10;;;59.8747;-67.1458;0;Bottom;Via14
11;;;70.8746;-75.1458;0;Bottom;Via15
12;100 nF;1206 [SMD, multilayer];57.3748;-32.9458;-90;Top;C37
13;;;24.3748;-72.6458;0;Bottom;Via57
14;;;19.8882;-32.8498;0;Bottom;Copper Fill15
15;;;19.8628;-30.259;0;Bottom;Copper Fill16
16;;;5.62487;-4.89579;0;Bottom;Hole3
17;;5050;41.5248;-32.9456;0;Top;RGB36
18;;5050;85.5247;-73.1957;0;Top;RGB15
19;;;21.463;-99.8296;0;Bottom;Copper Fill25
20;;;51.9938;-58.5038;0;Bottom;Copper Fill18
21;100 nF;1206 [SMD, multilayer];46.3748;-73.1958;-90;Top;C11
22;;;81.8896;-101.912;0;Bottom;Copper Fill24
23;100 nF;1206 [SMD, multilayer];68.3747;-73.1958;-90;Top;C13
24;;;48.8748;-59.1458;0;Bottom;Via21
25;;;93.3748;-100.896;0;Bottom;Via63
26;;;59.8748;-83.3958;0;Bottom;Via7
27;;;31.8749;-102.896;0;Bottom;Via47
28;;;24.511;-98.331;0;Bottom;Copper Fill32
29;;;82.3722;-31.8338;0;Bottom;Copper Fill262
30;100 nF;1206 [SMD, multilayer];57.6248;-89.4458;-90;Top;C2
31;;;52.5272;-30.5638;0;Bottom;Copper Fill264
32;;5050;57.5248;-100.946;0;Top;RGB50
33;;;41.2496;-30.8432;0;Bottom;Copper Fill263
34;100 nF;1206 [SMD, multilayer];46.3747;-48.9456;-90;Top;C26
35;100 nF;1206 [SMD, multilayer];51.375;-100.946;-90;Top;C49
36;;;83.3374;-65.3872;0;Bottom;Copper Fill126
37;;;36.0172;-45.6006;0;Bottom;Copper Fill13
38;;;81.8748;-42.8956;0;Bottom;Via34
39;;;59.8748;-75.1458;0;Bottom;Via13
40;;;33.0454;-78.5952;0;Bottom;Copper Fill3
41;;;54.3814;-99.8296;0;Bottom;Copper Fill28
42;;;48.4378;-30.0812;0;Bottom;Copper Fill268
43;;;85.5218;-30.513;0;Bottom;Copper Fill267
44;;;38.3748;-81.8958;0;Bottom;Via79
45;;;41.6248;-79.8958;0;Bottom;Via78
46;;;70.1802;-30.1066;0;Bottom;Copper Fill270
47;;;59.309;-30.0812;0;Bottom;Copper Fill269
48;;;70.8746;-23.3958;0;Bottom;Via43
49;;;61.3664;-73.439;0;Bottom;Copper Fill101
50;;;81.8748;-23.3957;0;Bottom;Via44
51;;;37.8714;-101.963;0;Bottom;Copper Fill20
52;;;50.546;-71.1784;0;Bottom;Copper Fill104
53;;;19.812;-27.7444;0;Bottom;Copper Fill17
54;;;76.8604;-33.9928;0;Bottom;Copper Fill252
55;;5050;85.5247;-40.9457;0;Top;RGB35
56;;;74.9554;-32.0878;0;Bottom;Copper Fill251
57;;5050;85.5247;-32.9456;0;Top;RGB40
58;;;40.259;-32.037;0;Bottom;Copper Fill253
59;;;88.6247;-40.8958;0;Bottom;Via39
60;;;37.846;-60.612;0;Bottom;Copper Fill7
61;;;88.6247;-48.8959;0;Bottom;Via40
62;100 nF;1206 [SMD, multilayer];68.3747;-32.9458;-90;Top;C38
63;;;81.28;-86.5708;0;Bottom;Copper Fill64
64;100 nF;1206 [SMD, multilayer];68.3747;-57.1958;-90;Top;C23
65;;;88.6247;-32.8959;0;Bottom;Via38
66;;;87.4014;-99.7026;0;Bottom;Copper Fill31
67;100 nF;1206 [SMD, multilayer];68.3747;-40.9457;-90;Top;C33
68;;;27.9146;-42.2986;0;Bottom;Copper Fill9
69;;5050;41.5248;-57.1957;0;Top;RGB21
